DonorID,DonorName,RecipID,RecipName,dontot,pctgiventopacs,pctgiventoall
30007,Minneapolis Municipal Retirement Assoc,40295,Friends of DFL Women,"$1,500.00 ",100,0.802139037
30011,Minneapolis Regional Labor Federation,40933,Putting Minnesota First,"$5,000.00 ",34.48275862,1.606828378
30011,Minneapolis Regional Labor Federation,41005,Edinans for Erhardt,"$4,000.00 ",27.5862069,1.285462702
30011,Minneapolis Regional Labor Federation,70026,Take Action PAC,"$3,000.00 ",20.68965517,0.964097027
30011,Minneapolis Regional Labor Federation,40295,Friends of DFL Women,"$1,000.00 ",6.896551724,0.321365676
30011,Minneapolis Regional Labor Federation,30625,WIN Minnesota Political Action Fund,"$1,000.00 ",6.896551724,0.321365676
30011,Minneapolis Regional Labor Federation,40403,8th Congressional District COPE AFL-CIO,$500.00 ,3.448275862,0.160682838
30012,Minneapolis Bldg & Construct Trades Council,40954,America Votes - Minnesota,$500.00 ,50,1.074141661
30012,Minneapolis Bldg & Construct Trades Council,30011,Minneapolis Regional Labor Federation,$500.00 ,50,1.074141661
30013,Joint Council 32 DRIVE,30625,WIN Minnesota Political Action Fund,"$50,000.00 ",83.7520938,23.08296016
30013,Joint Council 32 DRIVE,30025,Minn AFL-CIO,"$8,000.00 ",13.40033501,3.693273625
30013,Joint Council 32 DRIVE,40295,Friends of DFL Women,"$1,500.00 ",2.512562814,0.692488805
30013,Joint Council 32 DRIVE,40872,Rural Minn Preservation,$200.00 ,0.335008375,9.23E-02
30016,Firefighters Assoc of Mpls Political Fund,99999,2010/2012 Funds,"$7,000.00 ",100,39.88603989
30018,Minn Dental Political Action Committee,40979,Rochester Citizens Coalition,"$3,000.00 ",85.71428571,1.802879198
30018,Minn Dental Political Action Committee,40936,21st Senate District Republican Party,$500.00 ,14.28571429,0.300479866
30019,UTU PAC-MN,40295,Friends of DFL Women,$500.00 ,71.42857143,0.537778973
30019,UTU PAC-MN,30025,Minn AFL-CIO,$200.00 ,28.57142857,0.215111589
30022,Local 59 Political Fund,30011,Minneapolis Regional Labor Federation,"$10,000.00 ",59.06674542,5.598163802
30022,Local 59 Political Fund,70026,Take Action PAC,"$5,125.00 ",30.27170703,2.869058949
30022,Local 59 Political Fund,40634,Stonewall DFL (The),"$1,000.00 ",5.906674542,0.55981638
30022,Local 59 Political Fund,40295,Friends of DFL Women,$625.00 ,3.691671589,0.349885238
30022,Local 59 Political Fund,30618,Working Families Fund,$180.00 ,1.063201418,0.100766948
30025,Minn AFL-CIO,99999,2010/2012 Funds,"$125,000.00 ",60.16188649,24.72076707
30025,Minn AFL-CIO,30623,Working America Minn Political Committee,"$56,019.74 ",26.96202591,11.07880755
30025,Minn AFL-CIO,80024,Alliance for a Better Minnesota Action Fund,"$17,448.00 ",8.397636764,3.450623551
30025,Minn AFL-CIO,40981,Progressive Majority Minnesota,"$5,000.00 ",2.40647546,0.988830683
30025,Minn AFL-CIO,40933,Putting Minnesota First,"$2,700.00 ",1.299496748,0.533968569
30025,Minn AFL-CIO,30088,AFL-CIO Southeast Central Labor Council,$500.00 ,0.240647546,9.89E-02
30025,Minn AFL-CIO,40295,Friends of DFL Women,$500.00 ,0.240647546,9.89E-02
