ComID,Committee,stype,CommCity,CommState,CommZip,CommWeb,RegistrationDate,TerminationDate,begincash2007,endcash2012
99999,2010/2012 Funds,Independent Expenditure,St Paul,MN,55104,,2/18/2010 14:57,,,$5.74 
40835,21st Century Democrats,Political Committee,Washington,DC,20009,,8/11/2000,12/19/2007,"$14,521.10 ",
40936,21st Senate District Republican Party,Political Committee,Marshall,MN,56258-3406,,3/24/2005,6/29/2009,"$1,053.43 ",
40986,5th Judicial District Republican Committee,Political Committee,Lakefield,MN,56150,,9/24/2007,11/28/2011,$0.00 ,
40403,8th Congressional District COPE AFL-CIO,Political Committee,Duluth,MN,55811,,10/17/1974,12/31/2008,"$2,428.15 ",
41033,9th Judicial District Committee,Political Committee,Remer,MN,56672,,6/21/2010 12:27,,,$385.90 
41088,A Stronger Minnesota,Independent Expenditure,Belle Plaine,MN,56011,www.astrongerminnesota.com,9/19/2012 14:28,,,$557.51 
70047,ACEC/MN Political Action Committee,Political Committee,Minnetonka,MN,55305,,8/24/2009 9:54,,,"$4,266.13 "
30644,Action4Liberty,Independent Expenditure,Plymouth,MN,55447,www.action4liberty.com,12/27/2011 9:07,,,$23.64 
30088,AFL-CIO Southeast Central Labor Council,Political Fund,Rochester,MN,55904,,11/12/1974,8/21/2008,"$3,573.76 ",
30204,AFSCME,Political Fund,Washington,DC,20036,afscme.org,9/27/1982,,$0.00 ,$0.00 
30596,AFSCME Local 1842 City of St Paul Technicians,Political Fund,South St Paul,MN,55075-2469,,9/14/2005,8/27/2012,$696.10 ,"$1,006.10 "
40752,AFSCME Local 2508 Political,Political Committee,So St Paul,MN,55075-2469,,6/6/1996 10:21,5/11/2012,$217.51 ,$78.15 
30586,AFSCME Local 2822 Political Action,Political Fund,Minneapolis,MN,55418,,7/8/2004,,"$2,545.70 ","$3,627.92 "
30343,AFSCME Local 2938,Political Fund,Minneapolis,MN,55415,,7/23/1992,,"$2,350.65 ",$730.50 
30572,AFSCME Local 306,Political Fund,West St Paul,MN,55118,,12/17/2001,12/15/2011,"$3,703.85 ",
40753,AFSCME Local 34 PEOPLE,Political Committee,Minneapolis,MN,55415-0222,,6/6/1996 15:31,,"$2,708.74 ","$1,544.74 "
30243,AFSCME Local 8 People Fund,Political Fund,South St Paul,MN,55075,,1/1/1990,,"$4,079.33 ","$4,852.94 "
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,Political Fund,South St Paul,MN,55075,,5/19/2005,,"$35,296.45 ","$46,042.08 "
70024,Aging Services of Minn (fka MHHA PAC),Political Committee,St Paul,MN,55114,,8/13/2001,,"$5,071.37 ","$9,802.28 "
40086,Aitkin County DFL Club,Political Committee,Aitkin,MN,56431,,7/26/1976,,$705.16 ,"$1,672.61 "
30306,Alarm PAC,Political Fund,St Paul,MN,55103,,7/6/1989,,"$3,175.36 ","$3,237.65 "
40944,Alliance for a Better Minnesota,Political Committee,Minneapolis,MN,55414,,9/27/2005,11/27/2007,"$14,419.34 ",
80024,Alliance for a Better Minnesota Action Fund,Independent Expenditure,St Paul,MN,55104,abetterminnesota.org,9/26/2007,,$0.00 ,"$2,405.67 "
30074,Amalgamated Transit Union Local 1005,Political Fund,Minneapolis,MN,55414,,10/29/1974,,"$6,800.00 ",$541.88 
40954,America Votes - Minnesota,Political Committee,Washington,DC,20036,,5/10/2006,,"$86,793.81 ","$3,377.05 "
41093,America Votes Action Fund - Minnesota,Independent Expenditure,Washington,DC,20036,,9/28/2012 10:23,,,"$7,403.63 "
30657,Americans for Tax Reform Political Fund,Independent Expenditure,Washington,DC,20005,www.atr.org,11/2/2012 9:37,12/31/2012,,$0.00 
40281,ARC PAC of Minn,Political Committee,Minneapolis,MN,55417-2528,,8/12/1982,,"$3,019.63 ",$305.40 
30559,ARM - Political Action Comm,Political Fund,St Paul,MN,55114-0345,,1/19/1999,12/31/2010,"$1,751.86 ",
40910,Austin Chamber Business Leadership Committee,Political Committee,Austin,MN,55912,,9/11/2003,,$461.33 ,$178.92 
40683,Automotive Service Political Action Committee,Political Committee,Roseville,MN,55113,,10/21/1992,,"$1,680.93 ","$1,300.93 "
30137,BAM-PAC,Political Fund,St Paul,MN,55103-2186,,6/27/1978,,"$1,080.18 ","$8,954.21 "
30567,BCA Agents Political Fund,Political Fund,Bemidji,MN,56601,,7/18/2001,,"$3,545.13 ",$856.98 
30274,Beer PAC-Minn Beer Wholesalers Assoc,Political Fund,Eden Prairie,MN,55347,,4/15/1986,,"$3,604.54 ","$9,429.31 "
30170,Bemidji Central Labor Body AFL-CIO Pol Fund,Political Fund,Bemidji,MN,56619,,2/11/1990,,$443.20 ,$449.70 
30313,Best & Flanagan Political Fund,Political Fund,Minneapolis,MN,55402,,1/17/1990,7/24/2003,,
30584,Best & Flanagan Political Fund,Political Fund,Minneapolis,MN,55402,,6/4/2004,,$705.72 ,"$6,109.48 "
40555,Bike PAC,Political Committee,Forest Lake,MN,55025,,5/15/1989,,"$24,630.97 ","$22,621.00 "
30594,Boilermakers 647 Political Action Fund,Political Fund,Ramsey,MN,55303,,5/17/2005,,"$47,602.00 ","$28,625.12 "
30563,Bois Forte Political Education Fund,Political Fund,Nett Lake,MN,55772,,12/13/2000,,"($1,340.41)",$918.10 
30205,Bowling Political Action Committee,Political Fund,Maplewood,MN,55117,,10/12/1982,,"$1,036.94 ",$934.94 
30179,"Branch 28, NALC Political Action Fund",Political Fund,St Paul,MN,55106,,7/12/1981,,"$3,782.74 ","$3,362.34 "
40542,Brotherhood of Locomotive Engineers & Trainmen,Political Committee,Cleveland,OH,44113,,10/7/1988,,"$5,250.61 ","$5,396.61 "
30617,Building Trades C1 PAC Fund,Political Fund,St Paul,MN,55102,,10/18/2007,,"$5,273.29 ","$1,431.33 "
40522,Building Trades C1-PAC Fund,Political Committee,St Paul,MN,55102,,8/18/1988,10/18/2007,"$5,273.29 ",
70028,Burnsville Chamber PAC,Political Committee,Burnsville,MN,55337,,10/8/2002,,"$1,495.87 ",$885.82 
40833,Business PAC of Central MN,Political Committee,St Cloud,MN,56302-08121,,6/30/2000,7/14/2010,$443.81 ,
41056,Canary Party of Minnesota,Political Committee,Minnetonka,MN,55345,,4/26/2011 9:25,,,"$15,694.19 "
