ComID,Committee,cat1,cat2,totspend,gave to pacs,received from pacs
80024,Alliance for a Better Minnesota Action Fund,pac,prodfl,"$7,166,803.82",True,True
30625,WIN Minnesota Political Action Fund,pac,prodfl,"$5,697,488.30",True,True
99999,2010/2012 Funds,pac,prodfl,"$3,942,468.87",True,True
30558,Education Minn PAC,pac,labor,"$3,934,330.44",True,True
40742,Freedom Club State PAC,pac,prorpm,"$2,670,407.37",False,False
40989,Minnesota's Future,pac,prorpm,"$2,575,655.13",True,True
30204,AFSCME,pac,labor,"$2,317,688.00",False,True
30037,SEIU Minn State Council Political Fund,pac,labor,"$2,242,378.62",True,True
40712,Laborers District Council of Minn & ND Pol Fund,pac,labor,"$1,825,250.00",True,True
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,pac,labor,"$1,514,590.52",True,True
40550,Shakopee Mdewakanton Sioux,pac,indian,"$1,464,957.00",False,True
41035,MN FORWARD,pac,prorpm,"$1,413,096.34",True,False
41051,Minnesota Future LLC,pac,prorpm,"$1,346,396.63",True,True
40815,DRIVE- Democrat Republican Ind. Voter Edu.,pac,labor,"$1,122,688.60",False,True
30348,Mah Mah Wi No Min Fund I,pac,indian,"$917,062.28",False,True
70007,Coalition of MN Businesses PAC,pac,biz,"$888,732.36",True,True
30245,Minn Nurses Assn Pol Comm (MNA-PC),pac,labor,"$862,543.98",False,True
41047,Pro Jobs Majority,pac,biz,"$784,939.76",True,True
30025,Minn AFL-CIO,pac,labor,"$770,729.54",True,True
30561,North Central States Carpenters PAC,pac,labor,"$680,014.93",True,True
70004,Minn Business Partnership PAC,pac,biz,"$674,392.61",True,True
30555,Prairie Island Indian Community PAC,pac,indian,"$649,179.00",False,True
30058,International Union of Operating Engineers,pac,labor,"$615,642.78",True,True
30163,Faegre Baker Daniels State-Reg Pol Fund (fka Faegre & Benson LLP),pac,lawyers,"$601,637.50",False,True
70001,Minn Chamber of Commerce Leadership Fd,pac,biz,"$580,723.57",True,True
40404,IBEW Minn State Council PAC,pac,labor,"$543,906.39",False,True
30230,Lockridge Grindal Nauen PLLP State Pol Fnd,pac,lawyers,"$502,285.58",False,True
30119,IBEW Local 292 Political Education Fund,pac,labor,"$477,259.87",False,True
80026,Minn Assoc of Professional Employees Political Fund,pac,labor,"$434,944.88",False,True
30270,MAPE-PAC,pac,labor,"$415,352.70",True,True
30093,SEIU Healthcare Minn (fka SEIU Local 113),pac,labor,"$394,938.23",True,True
30225,TRIAL-PAC,pac,lawyers,"$390,513.17",True,True
30636,TakeAction Political Fund,pac,prodfl,"$389,811.98",True,False
70006,Minn Realtors Political Action Committee,pac,biz,"$380,495.43",False,True
40940,MOHPA PAC,pac,biz,"$349,069.76",True,True
30011,Minneapolis Regional Labor Federation,pac,labor,"$343,185.30",True,True
30654,Public Safety Matters Campaign,pac,labor,"$277,239.21",True,False
30623,Working America Minn Political Committee,pac,labor,"$272,370.42",True,False
40038,"CAR, Committee of Automotive Retailers",pac,biz,"$266,105.29",False,True
30124,Multi Housing Political Action Committee,pac,biz,"$264,850.00",True,True
30060,Minn State Council of UNITE HERE Unions,pac,labor,"$256,553.59",True,True
40714,Minn Hospital PAC,pac,biz,"$225,832.58",True,True
30031,Minneapolis Firefighters Fraternal Assn (fka Relief Assn Pol Fund),pac,labor,"$221,862.21",False,True
30116,Dorsey Political Fund,pac,lawyers,"$218,203.65",False,True
30013,Joint Council 32 DRIVE,pac,labor,"$216,610.00",True,True
30258,RKM&C Fund,pac,lawyers,"$216,342.43",False,True
30594,Boilermakers 647 Political Action Fund,pac,labor,"$212,587.50",False,True
41049,State Fund for Economic Growth LLC,pac,biz,"$200,000.00",False,True
30316,IBEW 110 PAC,pac,labor,"$197,183.72",False,True
30629,Impact Minnesota Political Fund,pac,prodfl,"$192,535.97",True,False
80023,Teamsters Local 120 DRIVE,pac,labor,"$192,146.00",True,True
70005,Minn CPAs Public Affairs Committee,pac,biz,"$187,150.00",True,False
30007,Minneapolis Municipal Retirement Assoc,pac,labor,"$187,000.00",False,True
80008,Conservation Minnesota Voter Fund,pac,issue,"$179,496.90",False,False
30022,Local 59 Political Fund,pac,labor,"$178,630.00",False,True
40847,Emilys List - Minn,pac,issue,"$175,788.42",False,True
30018,Minn Dental Political Action Committee,pac,biz,"$166,400.50",False,True
30274,Beer PAC-Minn Beer Wholesalers Assoc,pac,biz,"$166,080.00",False,True
30608,MN State Bldg & Construction Trades Cncl Pol Fund,pac,labor,"$162,194.44",True,True
30628,"Planned Parenthood Minnesota, North Dakota, South Dakota Action Fund",pac,issue,"$159,797.43",False,True
30308,IFO Political Action Committee Fund (Inter Faculty Organization),pac,labor,"$153,160.72",False,True
40756,Minn TruckPAC (fka Minn Trucking Assn State PAC),pac,biz,"$151,300.88",False,True
30611,IUPAT Political Action Together Pol Committee,pac,labor,"$146,201.00",False,True
40933,Putting Minnesota First,pac,prodfl,"$140,850.48",True,False
40751,Minn Bank State PAC,pac,biz,"$136,300.00",False,True
30242,Leonard Street and Deinard PAC,pac,lawyers,"$134,450.00",False,True
30631,HRC Equality Votes Minnesota,pac,issue,"$130,430.11",False,True
41050,Vote Racino Now Committee,pac,issue,"$121,761.36",False,False
30588,Sheet Metal Workers PAC 10,pac,labor,"$120,689.56",False,True
30108,MTA PAC (fka SITCO PAC),pac,biz,"$119,975.00",False,False
40786,Messerli & Kramer Political Action Comm,pac,lawyers,"$118,560.00",False,True
70026,Take Action PAC,pac,prodfl,"$116,374.88",True,True
30325,St Paul Pipefitters Local 455 PAC,pac,labor,"$114,717.00",False,True
30632,Minnesota - America Votes,pac,prodfl,"$109,432.93",False,False
30092,Iron Workers Local 512,pac,labor,"$108,014.00",False,True
30138,CARE / PAC,pac,biz,"$107,525.00",False,False
41001,UFCW Active Ballot Club,pac,labor,"$107,350.00",False,False
30550,Suburban School Emp Local 284 Pol Act Fund,pac,labor,"$106,936.91",True,True
30315,Fond du Lac Committee of Political Ed,pac,indian,"$106,600.00",False,False
40045,Committee of Thirteen Legislative Fund,pac,labor,"$105,430.00",False,True
40745,United Steelworkers District 11 Non-Federal Acct,pac,labor,"$104,000.00",True,True
40036,MEDPAC Minn Medical Political Action Comm,pac,biz,"$102,130.00",False,False
40877,Xcel Energy Employees PAC (fka Power PAC),pac,biz,"$100,890.00",False,False
30656,National Assn of Realtors Fund,pac,biz,"$95,179.55",False,False
30331,IBEW - COPE,pac,labor,"$93,500.00",True,False
30019,UTU PAC-MN,pac,labor,"$92,975.00",False,True
30192,Saint Paul Teachers Pension PAC,pac,labor,"$91,950.00",False,True
41023,North Star SFAA-PAC,pac,biz,"$91,905.00",False,True
80021,CWA COPE PCC,pac,labor,"$85,100.00",False,True
30064,Local 28 Political Fund,pac,labor,"$83,500.00",False,True
30218,Hospitality Political Action Committee,pac,biz,"$82,662.00",False,True
30602,SEIU Local 26 Political Fund,pac,labor,"$81,852.47",True,True
40295,Friends of DFL Women,pac,prodfl,"$80,550.00",True,True
80012,Planned Parenthood of Minn Pol Action Fund,pac,issue,"$79,988.70",False,True
30224,CUVOL,pac,biz,"$79,670.00",False,True
40248,Independent Community Bankers of Minn PAC,pac,biz,"$78,855.00",False,False
40238,Rural Electric Political Action Comm,pac,biz,"$78,571.40",False,True
30599,Minn Pipe Trades Assn PAC Fund,pac,labor,"$76,708.66",True,True
30293,MAFMIC Political Action Committee,pac,biz,"$75,310.00",False,False
70047,ACEC/MN Political Action Committee,pac,issue,"$74,918.11",False,False
30174,United Food & Commerical Workers Council 6,pac,labor,"$73,706.00",False,False
30635,Housing First,pac,issue,"$72,756.41",False,True
30239,Pipe Fitters Local 539,pac,labor,"$71,888.07",False,True
40275,Public Emp Pension Serv Assn (PEPSA) Pol Fund,pac,labor,"$70,765.00",False,True
30085,Police Officers Fed of Mpls Contingency Fund,pac,labor,"$70,750.00",False,False
30128,Minneapolis Police Relief Assoc,pac,labor,"$68,856.59",False,True
30190,MCCL State Pac,pac,issue,"$65,999.53",False,False
30563,Bois Forte Political Education Fund,pac,indian,"$65,100.00",False,True
70013,TwinWest Chamber of Commerce PAC,pac,biz,"$64,638.29",True,True
40019,Food PAC of Minn,pac,biz,"$64,275.00",False,True
40991,FEAPAC - MINN,pac,biz,"$63,302.50",False,True
40821,Pine Bend PAC,pac,,"$62,220.00",False,False
30111,Minn Chiropractic Political Action Comm,pac,biz,"$62,212.50",False,True
40094,IBEW Local #31 Volunteer COPE Fund,pac,labor,"$60,595.00",False,True
40825,GREAT (Great River Energy Action Team-State),pac,biz,"$60,000.00",False,True
40268,womenwinning State PAC,pac,prodfl,"$59,900.00",True,False
30557,NAIOP Economic Growth Fund,pac,biz,"$59,750.00",True,True
