RecipID,RecipName,DonorID,DonorName,dontot,pctofpacreceipts,pctofallreceipts
30011,Minneapolis Regional Labor Federation,40712,Laborers District Council of Minn & ND Pol Fund,"$37,250.00 ",29.34088325,6.307258905
30011,Minneapolis Regional Labor Federation,30245,Minn Nurses Assn Pol Comm (MNA-PC),"$25,500.00 ",20.08570531,4.317720861
30011,Minneapolis Regional Labor Federation,30593,AFSCME Minn PEOPLE Committee Council 5 PAC,"$20,000.00 ",15.75349436,3.386447734
30011,Minneapolis Regional Labor Federation,30119,IBEW Local 292 Political Education Fund,"$15,000.00 ",11.81512077,2.539835801
30011,Minneapolis Regional Labor Federation,30022,Local 59 Political Fund,"$10,000.00 ",7.876747181,1.693223867
30011,Minneapolis Regional Labor Federation,30611,IUPAT Political Action Together Pol Committee,"$6,500.00 ",5.119885667,1.100595514
30011,Minneapolis Regional Labor Federation,30058,International Union of Operating Engineers,"$4,000.00 ",3.150698872,0.677289547
30011,Minneapolis Regional Labor Federation,30558,Education Minn PAC,"$2,590.00 ",2.04007752,0.438544982
30011,Minneapolis Regional Labor Federation,40246,PAL 9 Natl Assoc of Letter Carriers,"$1,800.00 ",1.417814493,0.304780296
30011,Minneapolis Regional Labor Federation,30037,SEIU Minn State Council Political Fund,"$1,500.00 ",1.181512077,0.25398358
30011,Minneapolis Regional Labor Federation,40404,IBEW Minn State Council PAC,"$1,500.00 ",1.181512077,0.25398358
30011,Minneapolis Regional Labor Federation,30012,Minneapolis Bldg & Construct Trades Council,$500.00 ,0.393837359,8.47E-02
30011,Minneapolis Regional Labor Federation,30060,Minn State Council of UNITE HERE Unions,$500.00 ,0.393837359,8.47E-02
30011,Minneapolis Regional Labor Federation,30588,Sheet Metal Workers PAC 10,$315.96 ,0.248873704,5.35E-02
30012,Minneapolis Bldg & Construct Trades Council,30561,North Central States Carpenters PAC,$500.00 ,33.33333333,33.33333333
30012,Minneapolis Bldg & Construct Trades Council,30119,IBEW Local 292 Political Education Fund,$300.00 ,20,20
30012,Minneapolis Bldg & Construct Trades Council,30599,Minn Pipe Trades Assn PAC Fund,$300.00 ,20,20
30012,Minneapolis Bldg & Construct Trades Council,30058,International Union of Operating Engineers,$200.00 ,13.33333333,13.33333333
30012,Minneapolis Bldg & Construct Trades Council,40712,Laborers District Council of Minn & ND Pol Fund,$200.00 ,13.33333333,13.33333333
30013,Joint Council 32 DRIVE,40815,DRIVE- Democrat Republican Ind. Voter Edu.,"$446,891.53 ",99.9686823,30.63854068
30013,Joint Council 32 DRIVE,40246,PAL 9 Natl Assoc of Letter Carriers,$140.00 ,3.13E-02,9.60E-03
30025,Minn AFL-CIO,30037,SEIU Minn State Council Political Fund,"$106,730.03 ",14.52892618,8.089741793
30025,Minn AFL-CIO,40712,Laborers District Council of Minn & ND Pol Fund,"$90,000.00 ",12.25150369,6.821667354
30025,Minn AFL-CIO,30593,AFSCME Minn PEOPLE Committee Council 5 PAC,"$86,047.55 ",11.71346529,6.522086253
