ComID,Committee,ComShort,cat1,cat2,totspend,totspendout,IE,givingtot,topac,todem,torep,toballot,receivedtot,frompac,fromdem,fromrep,fromother,ComID,Committee,stype,CommCity,CommState,CommZip,CommWeb,RegistrationDate,TerminationDate,begincash2007,endcash2012,ComID,Committee,cat1,cat2,totspend,gave to pacs,received from pacs
99999,2010/2012 Funds,2010/12 Funds,pac,ie,3942468.87,0.0,0.0,3942468.9,3942468.9,,,,3942388.9,2647770.0,,,1294618.9,99999,2010/2012 Funds,Independent Expenditure,St Paul,MN,55104,,2/18/2010 14:57,,,$5.74 ,99999,2010/2012 Funds,pac,prodfl,"$3,942,468.87",True,True
41088,A Stronger Minnesota,A Stronger Minnesota,pac,ie,18827.55,18827.6,18827.6,,,,,,24950.0,,,7000.0,17950.0,41088,A Stronger Minnesota,Independent Expenditure,Belle Plaine,MN,56011,www.astrongerminnesota.com,9/19/2012 14:28,,,$557.51 ,41088,A Stronger Minnesota,pac,prorpm,"$18,827.55",False,False
70047,ACEC/MN Political Action Committee,,pac,,74918.11,74918.1,,74918.1,,36268.1,38650.0,,85354.2,,,,85354.2,70047,ACEC/MN Political Action Committee,Political Committee,Minnetonka,MN,55305,,8/24/2009 9:54,,,"$4,266.13 ",70047,ACEC/MN Political Action Committee,pac,issue,"$74,918.11",False,False
30088,AFL-CIO Southeast Central Labor Council,AFL-CIO SE Labor Council,pac,labor,10460.96,5901.2,4401.2,6059.8,4559.8,1500.0,,,6100.0,4300.0,,,1800.0,30088,AFL-CIO Southeast Central Labor Council,Political Fund,Rochester,MN,55904,,11/12/1974,8/21/2008,"$3,573.76 ",,30088,AFL-CIO Southeast Central Labor Council,pac,labor,"$10,460.96",True,True
30204,AFSCME,AFSCME,pac,labor,2317688,739420.0,5340.0,2312348.0,1578268.0,734080.0,,,,,,,,30204,AFSCME,Political Fund,Washington,DC,20036,afscme.org,9/27/1982,,$0.00 ,$0.00 ,30204,AFSCME,pac,labor,"$2,317,688.00",False,True
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,AFSCME Council 5,pac,labor,1514590.52,1011901.2,319730.7,1194859.8,502689.3,683720.5,3300.0,5150.0,2041199.9,1223268.0,6398.5,,811533.5,30593,AFSCME Minn PEOPLE Committee Council 5 PAC,Political Fund,South St Paul,MN,55075,,5/19/2005,,"$35,296.45 ","$46,042.08 ",30593,AFSCME Minn PEOPLE Committee Council 5 PAC,pac,labor,"$1,514,590.52",True,True
70024,Aging Services of Minn (fka MHHA PAC),Aging Services MN,pac,,46500,46500.0,,46500.0,,22900.0,23600.0,,42548.0,,,,42548.0,70024,Aging Services of Minn (fka MHHA PAC),Political Committee,St Paul,MN,55114,,8/13/2001,,"$5,071.37 ","$9,802.28 ",70024,Aging Services of Minn (fka MHHA PAC),pac,biz,"$46,500.00",False,False
80024,Alliance for a Better Minnesota Action Fund,Alliance Better MN,pac,ie,7166803.82,7162563.8,7162563.8,4240.0,4240.0,,,,9882936.5,9589385.2,,,293551.2,80024,Alliance for a Better Minnesota Action Fund,Independent Expenditure,St Paul,MN,55104,abetterminnesota.org,9/26/2007,,$0.00 ,"$2,405.67 ",80024,Alliance for a Better Minnesota Action Fund,pac,prodfl,"$7,166,803.82",True,True
30074,Amalgamated Transit Union Local 1005,,pac,labor,41933.12,39105.0,,41933.1,2828.1,38805.0,,,35350.0,,250.0,,35100.0,30074,Amalgamated Transit Union Local 1005,Political Fund,Minneapolis,MN,55414,,10/29/1974,,"$6,800.00 ",$541.88 ,30074,Amalgamated Transit Union Local 1005,pac,labor,"$41,933.12",False,True
40954,America Votes - Minnesota,America Votes-MN,pac,prodfl,26000,0.0,,26000.0,26000.0,,,,56639.7,41639.7,,,15000.0,40954,America Votes - Minnesota,Political Committee,Washington,DC,20036,,5/10/2006,,"$86,793.81 ","$3,377.05 ",40954,America Votes - Minnesota,pac,prodfl,"$26,000.00",True,True
41093,America Votes Action Fund - Minnesota,America Votes,pac,ie,15875.62,15875.6,15875.6,,,,,,63693.0,33347.0,,,30346.0,41093,America Votes Action Fund - Minnesota,Independent Expenditure,Washington,DC,20036,,9/28/2012 10:23,,,"$7,403.63 ",41093,America Votes Action Fund - Minnesota,pac,prodfl,"$15,875.62",True,False
30657,Americans for Tax Reform Political Fund,,pac,ie,30915,30915.0,30915.0,,,,,,30915.0,,,,30915.0,30657,Americans for Tax Reform Political Fund,Independent Expenditure,Washington,DC,20005,www.atr.org,11/2/2012 9:37,12/31/2012,,$0.00 ,30657,Americans for Tax Reform Political Fund,pac,issue,"$30,915.00",False,False
30137,BAM-PAC,,pac,,36880,36880.0,,36880.0,,17980.0,18900.0,,34834.5,,,,34834.5,30137,BAM-PAC,Political Fund,St Paul,MN,55103-2186,,6/27/1978,,"$1,080.18 ","$8,954.21 ",30137,BAM-PAC,pac,biz,"$36,880.00",False,False
30274,Beer PAC-Minn Beer Wholesalers Assoc,Beer PAC,pac,,166080,165580.0,,166080.0,500.0,85450.0,80130.0,,177941.2,,,,177941.2,30274,Beer PAC-Minn Beer Wholesalers Assoc,Political Fund,Eden Prairie,MN,55347,,4/15/1986,,"$3,604.54 ","$9,429.31 ",30274,Beer PAC-Minn Beer Wholesalers Assoc,pac,biz,"$166,080.00",False,True
30584,Best & Flanagan Political Fund,Best & Flanagan,pac,,51537.5,49587.5,,51537.5,1950.0,33037.5,15350.0,500.0,71715.8,,,,71715.8,30584,Best & Flanagan Political Fund,Political Fund,Minneapolis,MN,55402,,6/4/2004,,$705.72 ,"$6,109.48 ",30584,Best & Flanagan Political Fund,pac,lawyers,"$51,537.50",False,True
