ComID,Committee,ComShort,cat1,cat2,totspend,totspendout,IE,givingtot,topac,todem,torep,toballot,receivedtot,frompac,fromdem,fromrep,fromother
99999,2010/2012 Funds,2010/12 Funds,pac,ie,3942468.87,0.0,0.0,3942468.9,3942468.9,,,,3942388.9,2647770.0,,,1294618.9
40835,21st Century Democrats,21st Century Democrats,pac,prodfl,0,0.0,,,,,,,1000.0,1000.0,,,
40936,21st Senate District Republican Party,,pac,prorpm,5146.48,5146.5,,5146.5,,,5146.5,,5400.0,5150.0,,,250.0
40986,5th Judicial District Republican Committee,,pac,prorpm,252,252.0,,252.0,,,252.0,,,,,,
40403,8th Congressional District COPE AFL-CIO,,pac,labor,0,0.0,,,,,,,3150.0,3150.0,,,
41033,9th Judicial District Committee,,pac,,938.48,938.5,15.8,922.6,,,,,,,,,
41088,A Stronger Minnesota,A Stronger Minnesota,pac,ie,18827.55,18827.6,18827.6,,,,,,24950.0,,,7000.0,17950.0
70047,ACEC/MN Political Action Committee,,pac,,74918.11,74918.1,,74918.1,,36268.1,38650.0,,85354.2,,,,85354.2
30644,Action4Liberty,,pac,ie,0,0.0,,,,,,,24984.0,,,,24984.0
30088,AFL-CIO Southeast Central Labor Council,AFL-CIO SE Labor Council,pac,labor,10460.96,5901.2,4401.2,6059.8,4559.8,1500.0,,,6100.0,4300.0,,,1800.0
30204,AFSCME,AFSCME,pac,labor,2317688,739420.0,5340.0,2312348.0,1578268.0,734080.0,,,,,,,
30596,AFSCME Local 1842 City of St Paul Technicians,,pac,labor,2250,2250.0,,2250.0,,2250.0,,,5500.0,,,,5500.0
40752,AFSCME Local 2508 Political,,pac,labor,500,500.0,,500.0,,500.0,,,1000.0,,,,1000.0
30586,AFSCME Local 2822 Political Action,,pac,labor,2000,2000.0,,2000.0,,2000.0,,,2300.0,,,,2300.0
30343,AFSCME Local 2938,,pac,labor,400,400.0,,400.0,,400.0,,,700.0,,,,700.0
30572,AFSCME Local 306,,pac,labor,0,0.0,,,,,,,5000.0,,,,5000.0
40753,AFSCME Local 34 PEOPLE,,pac,labor,6800,6800.0,,6800.0,,6800.0,,,5420.0,,,,5420.0
30243,AFSCME Local 8 People Fund,,pac,labor,1900,1900.0,,1900.0,,1900.0,,,5750.0,,,,5750.0
