ComID,Committee,totspend,topac,receivedtot,frompac,stype,CommCity,CommState,CommZip,CommWeb,RegistrationDate,TerminationDate,endcash2012,cat1,cat2
99999,2010/2012 Funds,3942468.87,3942468.9,3942388.9,2647770.0,Independent Expenditure,St Paul,MN,55104,,2/18/2010 14:57,,$5.74 ,pac,prodfl
41088,A Stronger Minnesota,18827.55,,24950.0,,Independent Expenditure,Belle Plaine,MN,56011,www.astrongerminnesota.com,9/19/2012 14:28,,$557.51 ,pac,prorpm
70047,ACEC/MN Political Action Committee,74918.11,,85354.2,,Political Committee,Minnetonka,MN,55305,,8/24/2009 9:54,,"$4,266.13 ",pac,issue
30088,AFL-CIO Southeast Central Labor Council,10460.96,4559.8,6100.0,4300.0,Political Fund,Rochester,MN,55904,,11/12/1974,8/21/2008,,pac,labor
30204,AFSCME,2317688,1578268.0,,,Political Fund,Washington,DC,20036,afscme.org,9/27/1982,,$0.00 ,pac,labor
30593,AFSCME Minn PEOPLE Committee Council 5 PAC,1514590.52,502689.3,2041199.9,1223268.0,Political Fund,South St Paul,MN,55075,,5/19/2005,,"$46,042.08 ",pac,labor
70024,Aging Services of Minn (fka MHHA PAC),46500,,42548.0,,Political Committee,St Paul,MN,55114,,8/13/2001,,"$9,802.28 ",pac,biz
80024,Alliance for a Better Minnesota Action Fund,7166803.82,4240.0,9882936.5,9589385.2,Independent Expenditure,St Paul,MN,55104,abetterminnesota.org,9/26/2007,,"$2,405.67 ",pac,prodfl
30074,Amalgamated Transit Union Local 1005,41933.12,2828.1,35350.0,,Political Fund,Minneapolis,MN,55414,,10/29/1974,,$541.88 ,pac,labor
40954,America Votes - Minnesota,26000,26000.0,56639.7,41639.7,Political Committee,Washington,DC,20036,,5/10/2006,,"$3,377.05 ",pac,prodfl
41093,America Votes Action Fund - Minnesota,15875.62,,63693.0,33347.0,Independent Expenditure,Washington,DC,20036,,9/28/2012 10:23,,"$7,403.63 ",pac,prodfl
30657,Americans for Tax Reform Political Fund,30915,,30915.0,,Independent Expenditure,Washington,DC,20005,www.atr.org,11/2/2012 9:37,12/31/2012,$0.00 ,pac,issue
30137,BAM-PAC,36880,,34834.5,,Political Fund,St Paul,MN,55103-2186,,6/27/1978,,"$8,954.21 ",pac,biz
30274,Beer PAC-Minn Beer Wholesalers Assoc,166080,500.0,177941.2,,Political Fund,Eden Prairie,MN,55347,,4/15/1986,,"$9,429.31 ",pac,biz
30584,Best & Flanagan Political Fund,51537.5,1950.0,71715.8,,Political Fund,Minneapolis,MN,55402,,6/4/2004,,"$6,109.48 ",pac,lawyers
30594,Boilermakers 647 Political Action Fund,212587.5,11000.0,53535.0,,Political Fund,Ramsey,MN,55303,,5/17/2005,,"$28,625.12 ",pac,labor
30563,Bois Forte Political Education Fund,65100,2000.0,56800.0,,Political Fund,Nett Lake,MN,55772,,12/13/2000,,$918.10 ,pac,indian
40542,Brotherhood of Locomotive Engineers & Trainmen,19850,,8005.0,,Political Committee,Cleveland,OH,44113,,10/7/1988,,"$5,396.61 ",pac,labor
30617,Building Trades C1 PAC Fund,29050,450.0,28350.0,2300.0,Political Fund,St Paul,MN,55102,,10/18/2007,,"$1,431.33 ",pac,labor
40038,"CAR, Committee of Automotive Retailers",266105.29,30355.3,272906.0,,Political Committee,St Paul,MN,55118-3505,,7/5/1974,,"$24,164.90 ",pac,biz
30138,CARE / PAC,107525,,54570.7,,Political Fund,Bloomington,MN,55425,,8/31/1978,,"$10,183.72 ",pac,biz
30583,Carpenters Local #606 PAC,13100,,,,Political Fund,Grand Rapids,MN,55744,,2/3/2004,,"$7,211.30 ",pac,labor
40782,Carpenters Local 1644 PAC,21095.56,3145.6,13336.0,250.0,Political Committee,Minneapolis,MN,55406,,1/26/1998,11/16/2011,,pac,labor
30642,Carpenters Local 322,11880,,19046.5,,Political Fund,St Paul,MN,55130,local322.net,10/28/2011 9:16,,"$2,604.05 ",pac,labor
30592,Carpenters Local Union 361 Pol Fund,11490,,8500.0,500.0,Political Fund,Hermantown,MN,55811,,1/4/2005,,$969.12 ,pac,labor
30581,CHG PAC,21100,,20900.0,,Political Fund,Maple Grove,MN,55311,,5/28/2003,10/12/2010,,pac,biz
80018,Clean Water Action Voter Education Project,29313.71,6000.0,20220.0,,Political Fund,Minneapolis,MN,55414,,10/30/1984,,$380.12 ,pac,biz
30647,CMVC Fund (Conservation MN Voter Center),27177.69,,40500.0,500.0,Independent Expenditure,Minneapolis,MN,55415,www.mnvotercenter.org,7/20/2012 16:27,,"$3,541.31 ",pac,issue
70007,Coalition of MN Businesses PAC,888732.36,21841.5,905061.0,903500.0,Political Committee,St Paul,MN,55101,,11/15/1994 9:36,,"$9,182.18 ",pac,biz
40045,Committee of Thirteen Legislative Fund,105430,125.0,,,Political Committee,Oakdale,MN,55128,committeeof13.org,10/21/1974,,"$6,265.00 ",pac,labor
41045,Committee to Stop Wasteful Spending,31883.79,3062.9,32500.0,10000.0,Independent Expenditure,St Paul,MN,55101,,8/25/2010 11:29,12/31/2011,,pac,
80008,Conservation Minnesota Voter Fund,179496.9,,444217.0,,Political Fund,Minneapolis,MN,55415,,8/24/2000,,"$5,776.76 ",pac,issue
30312,Council 65 Political Action Committee,19430,,11742.6,,Political Fund,Nashwauk,MN,55769,,4/13/1990,,$54.57 ,pac,labor
41083,Count Them All Properly,27000,,31010.0,,Political Committee,St Paul,MN,55102,,2/8/2011 9:27,9/19/2012,$0.00 ,pac,prorpm
30224,CUVOL,79670,750.0,26792.2,,Political Fund,St Paul,MN,55102,,2/28/1975,,"$15,512.94 ",pac,biz
80021,CWA COPE PCC,85100,46100.0,148980.5,,Political Fund,Washington,DC,20001,,8/22/2006,,"$315,208.98 ",pac,labor
40491,D&T Better Government Committee,17177.84,17177.8,11175.0,,Political Committee,Minneapolis,MN,55402-1538,,10/30/1987,8/8/2012,$0.00 ,pac,biz
30640,Dominium Political Fund,12550,10000.0,24320.0,,Political Fund,Plymouth,MN,55441,,4/5/2011 14:24,,"$6,270.00 ",pac,
30116,Dorsey Political Fund,218203.65,13818.0,233821.0,,Political Fund,Minneapolis,MN,55402-1498,,10/23/1974,,"$6,278.51 ",pac,lawyers
40815,DRIVE- Democrat Republican Ind. Voter Edu.,1122688.6,960688.6,261914.6,,Political Committee,Washington,DC,20001,,11/13/1998,,$0.00 ,pac,labor
40915,Duluth Active & Retired Teachers Group,10000,,240.0,,Political Committee,Duluth,MN,55811,,1/22/2004,,$0.00 ,pac,labor
30096,Duluth FirePAC,33677.5,,111447.0,900.0,Political Fund,Duluth,MN,55803,www.duluthfirepac.com,9/12/1977,,"$39,737.00 ",pac,labor
30626,East Central MN Area Labor Council COPE,12788.6,500.0,13342.3,,Political Fund,St Cloud,MN,56301,,4/23/2010 9:31,,$553.65 ,pac,labor
30609,East Metro ASC LLC PAC (fka Minn Ambulatory Surgery Center Assoc),13000,,13993.7,,Political Fund,Lake Elmo,MN,55042,,8/9/2006,,"$4,430.47 ",pac,biz
41005,Edinans for Erhardt,49961.94,10280.4,49500.0,44500.0,Political Committee,Edina,MN,55424,,9/15/2008,12/31/2009,,pac,candidate
30558,Education Minn PAC,3934330.44,929855.0,4769608.8,15130.0,Political Fund,St Paul,MN,55103,,9/15/1998,,"$154,763.88 ",pac,labor
30103,Elementary Principals Action Committee,28125,,,,Political Fund,St Paul,MN,55108,,10/16/1975,,"$10,883.61 ",pac,
40847,Emilys List - Minn,175788.42,8500.0,95025.1,,Political Committee,Washington,DC,20036,www.emilyslist.org,10/27/2000,,,pac,issue
30163,Faegre Baker Daniels State-Reg Pol Fund (fka Faegre & Benson LLP),601637.5,27950.0,635907.9,,Political Fund,Minneapolis,MN,55402-3901,PAC@FaegreBD.com,10/6/1980,,"$1,300.50 ",pac,lawyers
40991,FEAPAC - MINN,63302.5,3000.0,76967.5,,Political Committee,Shorewood,MN,55331,,12/7/2007,,"$21,234.34 ",pac,biz
30619,Federal Express Minn State Fund,16900,500.0,2833.3,,Political Fund,Memphis,TN,38120,,9/8/2008,,,pac,biz
30016,Firefighters Assoc of Mpls Political Fund,17550,7000.0,73594.3,,Political Fund,Minneapolis,MN,55418,,7/7/1974,,"$54,034.75 ",pac,labor
30315,Fond du Lac Committee of Political Ed,106600,,99550.0,,Political Fund,Cloquet,MN,55720,,9/21/1988,,"$7,312.66 ",pac,indian
40019,Food PAC of Minn,64275,250.0,77500.0,,Political Committee,St Paul,MN,55102,,9/24/1974,,"$47,765.51 ",pac,biz
40742,Freedom Club State PAC,2670407.37,,3196063.0,,Political Committee,Champlin,MN,55316,,11/2/1995 11:36,,"$2,028.21 ",pac,prorpm
40295,Friends of DFL Women,80550,500.0,82020.0,47475.0,Political Committee,St Paul,MN,55104,,9/24/1982,,"$6,345.04 ",pac,prodfl
40935,Friends of Minn Nurse Anesthetists,20450,,28418.0,,Political Committee,Minneapolis,MN,55416,www.mnana.org,12/29/2004,,"$14,756.52 ",pac,
30587,Goff Public PAC,50550,3000.0,55031.7,,Political Fund,St Paul,MN,55101,,8/16/2004,,"$1,884.01 ",pac,biz
40970,Grand Portage PAC,42650,,59055.0,,Political Committee,Grand Portage,MN,55605,www.grandportage.com,10/12/2006,,"$22,760.35 ",pac,indian
40725,Gray Plant Mooty Mooty & Bennett Independent PAC,11400,100.0,22817.8,,Political Committee,Minneapolis,MN,55402,,10/19/1994 9:28,,"$14,117.37 ",pac,lawyers
40825,GREAT (Great River Energy Action Team-State),60000,500.0,85645.5,,Political Committee,Wayzata,MN,55391,,12/30/1999,,"$29,443.06 ",pac,biz
30634,Greater Minnesota Votes,45921.19,,48100.0,46000.0,Independent Expenditure,Minneapolis,MN,55408,,10/1/2010 10:00,12/31/2011,,pac,
30337,Health Partners Civic Affairs Council,14025,250.0,13008.3,,Political Fund,St Paul,MN,55105,,12/5/1990,,"$1,478.76 ",pac,biz
30218,Hospitality Political Action Committee,82662,23500.0,206690.0,,Political Fund,St Paul,MN,55117-2031,,7/3/1974,,"$4,257.49 ",pac,biz
30635,Housing First,72756.41,17500.0,86906.6,,Independent Expenditure,Roseville,MN,55113,www.batconline.org,10/8/2010 8:59,,"$12,070.39 ",pac,issue
30631,HRC Equality Votes Minnesota,130430.11,130000.0,131032.7,,Independent Expenditure,Washington,DC,20036,www.hrc.org,9/10/2010 14:56,12/31/2010,,pac,issue
70041,HRC Minnesota PAC,41034.42,1022.6,35110.0,5250.0,Political Committee,Washington,DC,20036,,8/10/2006,10/22/2012,,pac,issue
30331,IBEW - COPE,93500,,444584.9,158193.0,Political Fund,Washington,DC,20001,,10/29/1990,,"$2,082,993.64 ",pac,labor
30316,IBEW 110 PAC,197183.72,83558.0,,,Political Fund,St Paul,MN,55106,,2/25/1990,,"$18,042.68 ",pac,labor
40094,IBEW Local #31 Volunteer COPE Fund,60595,46615.0,28909.1,,Political Committee,Duluth,MN,55812,,9/28/1976,,"$1,425.43 ",pac,labor
30119,IBEW Local 292 Political Education Fund,477259.87,63100.0,466208.4,,Political Fund,Minneapolis,MN,55414,,7/16/1974,,"$20,325.33 ",pac,labor
30236,IBEW Local 343 Political Education Fund (fka Electr Loc 343 IBEW Ed Fd),51710.88,43860.9,36850.0,,Political Fund,Rochester,MN,55904-8435,,4/17/1984,,"$1,439.64 ",pac,labor
40404,IBEW Minn State Council PAC,543906.39,263405.4,542125.0,,Political Committee,St Anthony Village,MN,55421-4352,,6/16/1980,,"$3,161.48 ",pac,labor
40056,IFAPAC Minn,31750,,88489.9,,Political Committee,Minneapolis,MN,55422,,7/23/1974,,"$4,856.52 ",pac,
30308,IFO Political Action Committee Fund (Inter Faculty Organization),153160.72,2700.0,163513.7,,Political Fund,St Paul,MN,55103,,9/26/1989,,$877.03 ,pac,labor
30629,Impact Minnesota Political Fund,192535.97,,190951.8,29500.0,Independent Expenditure,St Paul,MN,55114,,8/26/2010 12:09,9/25/2012,$0.00 ,pac,prodfl
40248,Independent Community Bankers of Minn PAC,78855,,185640.4,,Political Committee,St Paul,MN,55108,,9/10/1975,,"$46,289.11 ",pac,biz
70014,Insurance Federation Political Action Comm,24175,12400.0,26200.3,2500.0,Political Committee,Maple Grove,MN,55369-5611,,2/29/1980,,"$2,212.08 ",pac,biz
30058,International Union of Operating Engineers,615642.78,116517.5,148780.5,7816.2,Political Fund,Minneapolis,MN,55418,,10/4/1974,,"$12,180.85 ",pac,labor
30092,Iron Workers Local 512,108014,9414.0,45000.0,,Political Fund,St Paul,MN,55104-1634,,11/25/1974,,$329.49 ,pac,labor
30611,IUPAT Political Action Together Pol Committee,146201,27251.0,1092679.8,,Political Fund,Hanover,MD,21076,,7/25/2006,,"$983,110.06 ",pac,labor
30013,Joint Council 32 DRIVE,216610,59700.0,1458592.7,447031.5,Political Fund,Minneapolis,MN,55414,,7/7/1974,,"$51,506.30 ",pac,labor
40712,Laborers District Council of Minn & ND Pol Fund,1825250,442400.0,1916596.3,1978.1,Political Fund,St Paul,MN,55117,,6/28/1994,,"$22,757.14 ",pac,labor
30624,Larkin Hoffman Political Fund,19250,,23975.9,,Political Fund,Bloomington,MN,55431,,12/10/2009 10:49,,"$4,876.85 ",pac,lawyers
40996,Leaders Aligned for Health Care,13750,1075.0,14400.0,,Political Committee,St Louis Park,MN,55426,,4/18/2008,5/15/2012,$5.00 ,pac,
40889,Leech Lake PAC,45621.78,500.0,58400.0,,Political Committee,Cass Lake,MN,56633,,8/29/2002,,"$2,185.65 ",pac,indian
30242,Leonard Street and Deinard PAC,134450,14700.0,161930.0,,Political Fund,Minneapolis,MN,55402,,2/11/1990,,"$5,153.21 ",pac,lawyers
40105,Lindquist & Vennum Political Fund,20820,850.0,41825.0,,Political Committee,Minneapolis,MN,55402,,6/4/1979,,"$18,414.54 ",pac,lawyers
30064,Local 28 Political Fund,83500,22700.0,25829.0,,Political Fund,St Paul,MN,55102,,10/15/1974,,"$7,884.89 ",pac,labor
30022,Local 59 Political Fund,178630,16930.0,213374.2,,Political Fund,Minneapolis,MN,55413,,1/1/1990,,"$61,674.47 ",pac,labor
40820,Local 851 Political Action Committee,22864.6,12364.6,11410.8,,Political Fund,Anoka,MN,55303,,6/14/1999,11/16/2011,,pac,labor
40837,Local Action Political Action Committee,29591.26,,29855.3,29855.3,Political Committee,West St Paul,MN,55118,,8/17/2000,,$436.25 ,pac,labor
30230,Lockridge Grindal Nauen PLLP State Pol Fnd,502285.58,4000.0,553870.0,,Political Fund,Minneapolis,MN,55401,,1/1/1990,,"$2,086.97 ",pac,lawyers
30327,Lower Sioux Political Education Fund,43374,,35070.0,,Political Fund,Morton,MN,56270,,8/31/1990,,$800.12 ,pac,indian
70010,MABC PAC,47535.88,12500.0,45565.0,,Political Committee,Eden Prairie,MN,55344,,11/21/1986,,$405.89 ,pac,
30293,MAFMIC Political Action Committee,75310,,35120.0,,Political Fund,St Joseph,MN,56374,,7/22/1988,,"$5,009.39 ",pac,biz
30348,Mah Mah Wi No Min Fund I,917062.28,10600.0,993750.0,,Political Fund,Minneapolis,MN,55401,,11/2/1992,,"$12,824.96 ",pac,indian
30270,MAPE-PAC,415352.7,53767.7,119398.0,1500.0,Political Committee,Shoreview,MN,55126,,12/30/1985,,"$40,082.86 ",pac,labor
30190,MCCL State Pac,65999.53,,45404.1,,Political Fund,Minneapolis,MN,55409,,7/26/1982,,"$19,346.43 ",pac,issue
40036,MEDPAC Minn Medical Political Action Comm,102130,,262126.6,,Political Committee,Minneapolis,MN,55413,,7/5/1974,,"$19,357.81 ",pac,biz
40786,Messerli & Kramer Political Action Comm,118560,3100.0,153700.0,,Political Committee,St Paul,MN,55104,,6/4/1998,,"$2,185.46 ",pac,lawyers
41077,Michele PAC Minnesota,20500,,21000.0,,Political Committee,Woodbury,WI,55125,,5/16/2012 15:15,,"$6,896.19 ",pac,prorpm
40950,Midwest Values PAC - MN,19675,,,,Political Committee,Minneapolis,MN,55458,,2/1/2006,2/1/2007,,pac,prodfl
30025,Minn AFL-CIO,770729.54,207772.7,1319325.6,734603.7,Political Fund,St Paul,MN,55103,,7/24/1974,,"$4,567.55 ",pac,labor
40201,Minn AGPAC,23899.7,2000.0,7875.0,,Political Committee,St Paul,MN,55102-1130,,8/12/1980,,"$2,803.17 ",pac,biz
80026,Minn Assoc of Professional Employees Political Fund,434944.88,217960.0,294066.5,,Political Fund,Shoreview,MN,55126,,3/24/2010 16:00,,"$26,013.66 ",pac,labor
40751,Minn Bank State PAC,136300,31000.0,110220.0,,Political Committee,St Paul,MN,55103,,5/28/1996 10:20,,"$7,419.26 ",pac,biz
70004,Minn Business Partnership PAC,674392.61,325000.0,722245.0,25000.0,Political Committee,Minneapolis,MN,55402,,7/27/1992,,"$34,428.95 ",pac,biz
30127,Minn Cable Comm Assoc - PAC,52745,,52725.0,,Political Fund,St Paul,MN,55104,,11/18/1976,,$831.17 ,pac,biz
70001,Minn Chamber of Commerce Leadership Fd,580723.57,357200.0,859960.0,47279.2,Political Committee,St Paul,MN,55101,,1/14/1983,,"$1,363.33 ",pac,biz
30111,Minn Chiropractic Political Action Comm,62212.5,500.0,82219.0,,Political Fund,Bloomington,MN,55431,,5/11/1976,,"$21,084.64 ",pac,biz
70005,Minn CPAs Public Affairs Committee,187150,,284406.4,17177.8,Political Committee,Bloomington,MN,55431,,1/1/1990,,"$149,392.45 ",pac,biz
30018,Minn Dental Political Action Committee,166400.5,3500.0,9198.0,,Political Fund,Minneapolis,MN,55408-1802,,7/7/1974,,"$19,453.12 ",pac,biz
80001,Minn Eye PAC,36920,,29131.3,,Political Fund,Lake Elmo,MN,55042,,10/28/1985,,"$7,169.93 ",pac,biz
40543,Minn Farmers Union PAC,31925,,17742.0,,Political Committee,St Paul,MN,55113-0007,,11/14/1988,,"$11,475.72 ",pac,biz
40714,Minn Hospital PAC,225832.58,3900.0,212533.0,15825.0,Political Committee,Minneapolis,MN,55414,,7/15/1994,,"$12,676.46 ",pac,biz
40666,Minn Manufactured Home PAC,57120,200.0,59027.0,,Political Committee,W St Paul,MN,55118-3481,,12/7/1977,,"$2,651.03 ",pac,biz
30245,Minn Nurses Assn Pol Comm (MNA-PC),862543.98,235604.6,743710.7,,Political Fund,St Paul,MN,55102,,1/1/1990,,$545.25 ,pac,labor
40562,Minn Physical Therapy PAC,43300,,21776.1,,Political Committee,St Paul,MN,55114,,5/5/1982,,"$1,833.76 ",pac,biz
30599,Minn Pipe Trades Assn PAC Fund,76708.66,4701.4,69877.6,14568.4,Political Fund,Duluth,MN,55811,www.mnpipetrades.com,1/5/2006,,"$1,132.12 ",pac,labor
30288,Minn Police & Peace Officers Assoc Leg Fund,46535.25,450.0,107080.0,40000.0,Political Fund,St Paul,MN,55130-4039,,1/8/1978,,"$63,836.44 ",pac,labor
40789,Minn Power PAC,58780,4150.0,80492.0,,Political Committee,Duluth,MN,55812,,7/8/1998,,"$26,447.98 ",pac,biz
30098,Minn Professional Fire Fighters PAC,58176.67,6200.0,68533.2,,Political Fund,St Louis Park,MN,55426-1338,,8/19/1974,,"$16,421.84 ",pac,labor
70006,Minn Realtors Political Action Committee,380495.43,500.0,325044.3,,Political Committee,Edina,MN,55436,www.mnrealtor.com,10/8/1974,,"$285,252.74 ",pac,biz
30591,Minn Seasonal Recreational Property Owners PAC,37806.79,1000.0,250.0,,Political Fund,Mendota,MN,55150,,12/16/2004,,"$3,291.42 ",pac,biz
40123,Minn Service Station Assoc,10700,250.0,9608.6,,Political Committee,Little Canada,MN,55117,,4/28/1978,,"$5,703.12 ",pac,biz
70022,Minn Soybean PAC,53325,,24726.0,,Political Committee,Mankato,MN,56001,,9/29/2000,,$938.56 ,pac,biz
30060,Minn State Council of UNITE HERE Unions,256553.59,40703.6,188900.0,37500.0,Political Fund,Minneapolis,MN,55414,,10/8/1974,,$254.55 ,pac,labor
30115,Minn State MNPL,31500,11000.0,1400.0,,Political Fund,Vadnais Heights,MN,55127,,9/7/1976,,$749.51 ,pac,
30002,Minn State Patrol Troopers Assoc,29900,,12000.0,,Political Fund,Brooklyn Park,MN,55445,,2/10/1977,,"$6,519.98 ",pac,labor
40756,Minn TruckPAC (fka Minn Trucking Assn State PAC),151300.88,30250.0,174228.0,,Political Committee,Roseville,MN,55113,,7/15/1996,,$236.51 ,pac,biz
30012,Minneapolis Bldg & Construct Trades Council,46548.8,1000.0,1500.0,1500.0,Political Fund,Minneapolis,MN,55414,,7/16/1974,,"$1,259.65 ",pac,labor
40254,Minneapolis Fire Department Pensioners PCF,28950,3000.0,,,Political Committee,Minneapolis,MN,55413-1830,,1/29/1982,12/31/2011,,pac,labor
30031,Minneapolis Firefighters Fraternal Assn (fka Relief Assn Pol Fund),221862.21,6000.0,21250.0,,Political Fund,Fridley,MN,55432,,8/19/1974,,$576.13 ,pac,labor
30007,Minneapolis Municipal Retirement Assoc,187000,1500.0,,,Political Fund,Minneapolis,MN,55414-1053,,11/30/1978,,$999.01 ,pac,labor
80029,Minneapolis Police Fraternal Association,12050,,31142.2,,Political Fund,St Paul,MN,55101,,12/23/2011 13:59,,"$10,191.85 ",pac,labor
30128,Minneapolis Police Relief Assoc,68856.59,1500.0,47888.0,,Political Fund,Minneapolis,MN,55413,,5/9/1977,12/31/2011,,pac,labor
30011,Minneapolis Regional Labor Federation,343185.3,14500.0,590589.4,126956.0,Political Fund,Minneapolis,MN,55414,,7/3/1974,,"$22,779.52 ",pac,labor
30123,Minneapolis Retired Police Assoc Political Fund,53975,250.0,40000.0,,Political Fund,Minneapolis,MN,55403,,9/7/1976,6/19/2012,$0.00 ,pac,labor
30632,Minnesota - America Votes,109432.93,,186984.7,,Independent Expenditure,Washington,DC,20036,,9/20/2010 11:30,,$0.00 ,pac,prodfl
41051,Minnesota Future LLC,1346396.63,1229904.6,2329000.0,5000.0,Independent Expenditure,St Paul,MN,55128,,10/21/2010 8:16,1/31/2011,,pac,prorpm
70051,Minnesotans for Racino PAC,38625,,38450.0,,Political Committee,Mound,MN,55364,,6/21/2010 12:21,6/15/2012,$29.46 ,pac,biz
40989,Minnesota's Future,2575655.13,5000.0,3455409.5,1352167.5,Independent Expenditure,St Paul,MN,55101,,11/27/2007,,"$13,036.55 ",pac,prorpm
70016,MN Corn State PAC (fka MN Corn),26720,500.0,20086.0,,Political Committee,Shakopee,MN,55379,,1/14/1999,,"$8,374.00 ",pac,biz
41035,MN FORWARD,1413096.34,,1841729.8,101000.0,Independent Expenditure,Minneapolis,MN,55402,,6/29/2010 16:09,,"$114,129.87 ",pac,prorpm
70050,MN HomeCare PAC,10600,,16978.8,,Political Committee,St Paul,MN,55113,,5/27/2010 15:06,,"$5,758.33 ",pac,biz
30195,MN Retailers IMPACT (fka Mn Retail Pol Advocacy Fd),41075,26000.0,30896.4,450.0,Political Fund,St Paul,MN,55101,,6/24/1976,,"$12,181.72 ",pac,biz
30608,MN State Bldg & Construction Trades Cncl Pol Fund,162194.44,9000.0,208242.9,22922.4,Political Fund,St Paul,MN,55102,,7/24/2006,,"$2,795.67 ",pac,labor
40940,MOHPA PAC,349069.76,250.0,341825.0,2000.0,Political Committee,St Paul,MN,55114,,7/28/2005,,"$3,132.34 ",pac,biz
40907,Motorcycle PAC of Minn,11200,,,,Political Committee,Chanhassen,MN,55317,,5/2/2003,,"$13,434.16 ",pac,issue
80022,MPS PAC,18650,,11750.0,,Political Fund,St Paul,MN,55110,mnpsychsoc.org/pac.html,7/25/2003,,"$4,814.94 ",pac,
80002,MSA-PAC,20750,,13850.0,,Political Fund,Minneapolis,MN,55401,,9/21/1988,,$692.25 ,pac,issue
